Country_Name,Country_Code,Region,Year,Fertility_Rate,Happiness_Score
"Venezuela, RB",VEN,Latin America & Caribbean,2017,18.735,74.726
British Virgin Islands,VGB,Latin America & Caribbean,2017,-1,-1
Virgin Islands (U.S.),VIR,Latin America & Caribbean,2017,12.8,79.4195122
Vietnam,VNM,East Asia & Pacific,2017,16.45,76.454
Vanuatu,VUT,East Asia & Pacific,2017,25.524,72.334
Samoa,WSM,East Asia & Pacific,2017,24.316,75.24
Kosovo,XKX,Europe & Central Asia,2017,16.4,71.94634146
"Yemen, Rep.",YEM,Middle East & North Africa,2017,31.027,65.157
South Africa,ZAF,Sub-Saharan Africa,2017,20.655,63.404
Zambia,ZMB,Sub-Saharan Africa,2017,37.833,62.255
Zimbabwe,ZWE,Sub-Saharan Africa,2017,32.318,61.712
